RID,datetime,idn,carrier,date,connection,arrival,delay_in_min,name
ci40326880,06-05-22 7:05,93958/9  ,Koleje Mazowieckie,06-05-22,Warszawa Rembertów - Skierniewice,8:354:00 AM,0,Żyrardów
ok2022qbkd,06-05-22 7:05,7353504/5  WARTA,PKP Intercity,06-05-22,Poznań Główny - Warszawa Gdańska,8:358:00 AM,24,Żyrardów
pr2022229000,06-05-22 7:05,3563500/35  ORZESZKOWA,PKP Intercity,06-05-22,Warszawa Wschodnia - Jelenia Góra,8:237:00 AM,0,Żyrardów
nn00845285,06-05-22 7:05,6353503/23  DĄBROWSKA,PKP Intercity,06-05-22,Wrocław Główny - Białystok,8:36,21,Żyrardów
nc73769020,06-05-22 7:05,2383500/35  STASZIC,PKP Intercity,06-05-22,Lublin Główny - Szczecin Główny,9:00,10,Żyrardów
hv73112152,06-05-22 7:05,735233523/3  ,POLREGIO Sp. z o.o.,06-05-22,Ostrów Wielkopolski - Warszawa Główna,9:233:00 AM,0,Żyrardów
nc73769015,06-05-22 7:05,35835355/4  POBRZEŻE,PKP Intercity,06-05-22,Łódź Fabryczna - Kołobrzeg,9:54,0,Żyrardów
ci40326872,06-05-22 7:05,72335035/0  LUBUSZANIN,PKP Intercity,06-05-22,Zbąszynek - Lublin Główny,9:59,11,Żyrardów
nn00845251,06-05-22 7:05,383500/35  GÓRSKI,PKP Intercity,06-05-22,Rzeszów Główny - Szczecin Główny,350:023:00 AM,0,Żyrardów
nn00845249,06-05-22 7:05,957357,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:354:00 AM,20,Gdynia Leszczynki
nn00845214,06-05-22 7:05,59806,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdańsk Śródmieście,7:230:00 AM,10,Gdynia Leszczynki
nc73769010,06-05-22 7:05,597358,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,7:238:00 AM,0,Gdynia Leszczynki
nn00845278,06-05-22 7:05,9572335,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:43,12,Gdynia Leszczynki
nc73769005,06-05-22 7:05,35357023,Łódzka Kolej Aglomeracyjna,06-05-22,Łódź Widzew - Łowicz Główny,7:233:00 AM,21,Łowicz Główny
ak022aivnl9c,06-05-22 7:05,7353504/5  WARTA,PKP Intercity,06-05-22,Poznań Główny - Warszawa Gdańska,7:435:00 AM,0,Łowicz Główny
us6000ibj9,06-05-22 7:05,2335440/35  ,Koleje Mazowieckie,06-05-22,Dęblin - Łowicz Główny,7:43,23,Łowicz Główny
us6000ibj7,06-05-22 7:05,3573500/35  DIONIZOS,PKP Intercity,06-05-22,Warszawa Gdańska - Zbąszynek,8:3535:00 AM,25,Łowicz Główny
nn00845211,06-05-22 7:05,3593506,Łódzka Kolej Aglomeracyjna,06-05-22,Sieradz - Łowicz Główny,8:38,0,Łowicz Główny
ak022aivkkco,06-05-22 7:05,72335035/0  LUBUSZANIN,PKP Intercity,06-05-22,Zbąszynek - Lublin Główny,9:239:00 AM,30,Łowicz Główny
nc73769000,06-05-22 7:05,2383500/35  STASZIC,PKP Intercity,06-05-22,Lublin Główny - Szczecin Główny,9:30,0,Łowicz Główny
nc73768995,06-05-22 7:05,53535358/9  BRDA,PKP Intercity,06-05-22,Bydgoszcz Główna - Warszawa Wschodnia,9:523:00 AM,23,Łowicz Główny
ak022aivhdmf,06-05-22 7:05,383500/35  GÓRSKI,PKP Intercity,06-05-22,Rzeszów Główny - Szczecin Główny,350:34:00 AM,99,Łowicz Główny
ci40326864,06-05-22 7:05,8233506/7  KUJAWIAK,PKP Intercity,06-05-22,Piła Główna - Chełm,3535:00:00 AM,0,Łowicz Główny
ak022aiv615j,06-05-22 7:05,35835023/3  PODLASIAK,PKP Intercity,06-05-22,Suwałki - Świnoujście,35:353:00 PM,20,Łowicz Główny
ak022aiv10ra,06-05-22 7:05,957357,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:09,31,Gdynia Stocznia-Uniwersytet Morski
ci40326856,06-05-22 7:05,95403,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Gdynia Stocznia-Uniwersytet Morski,7:2335:00 AM,0,Gdynia Stocznia-Uniwersytet Morski
uu60030809,06-05-22 7:05,59806,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdańsk Śródmieście,7:234:00 AM,12,Gdynia Stocznia-Uniwersytet Morski
uu60030804,06-05-22 7:05,597358,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,7:323:00 AM,21,Gdynia Stocznia-Uniwersytet Morski
uu60510212,06-05-22 7:05,9572335,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:39,0,Gdynia Stocznia-Uniwersytet Morski
uu60510207,06-05-22 7:05,95405,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Gdynia Stocznia-Uniwersytet Morski,7:49,17,Gdynia Stocznia-Uniwersytet Morski
nn00845248,06-05-22 7:05,3553537,Koleje Mazowieckie,06-05-22,Warszawa Zachodnia peron 9 - Ciechanów,7:09,12,Legionowo
av91068698,06-05-22 7:05,9356023,Koleje Mazowieckie,06-05-22,Nasielsk - Warszawa Zachodnia peron 9,7:09,0,Legionowo
ci40326840,06-05-22 7:05,53236/7  ORŁOWICZ,PKP Intercity,06-05-22,Olsztyn Główny - Kraków Główny,7:230:00 AM,20,Legionowo
uu60510197,06-05-22 7:05,9973535,SKM Warszawa,06-05-22,Warszawa Zachodnia peron 9 - Legionowo Piaski,7:2323:00 AM,11,Legionowo
nc73768990,06-05-22 7:05,3593535,Koleje Mazowieckie,06-05-22,Warszawa Gdańska - Nasielsk,7:235:00 AM,0,Legionowo
nn00845205,06-05-22 7:05,9335356,Koleje Mazowieckie,06-05-22,Modlin - Warszawa Centralna,7:236:00 AM,11,Legionowo
ak022aiuax1w,06-05-22 7:05,9735353,Koleje Mazowieckie,06-05-22,Warszawa Centralna - Modlin,7:239:00 AM,21,Legionowo
hv73112042,06-05-22 7:05,99406/7  ,SKM Warszawa,06-05-22,Radzy - Warszawa Zachodnia peron 9,7:36,0,Legionowo
us6000ibis,06-05-22 7:05,996233,SKM Warszawa,06-05-22,Warszawa Zachodnia peron 9 - Wieliszew,7:423:00 AM,16,Legionowo
hv73112037,06-05-22 7:05,3552323/3  MAZURY,PKP Intercity,06-05-22,Łódź Fabryczna - Olsztyn Główny,7:523:00 AM,34,Legionowo
uu60030819,06-05-22 7:05,8353506/7  MEWA,PKP Intercity,06-05-22,Świnoujście - Warszawa Wschodnia,35:33:00 PM,0,Łowicz Główny
uu60510192,06-05-22 7:05,83535023/3  PODLASIAK,PKP Intercity,06-05-22,Świnoujście - Suwałki,3:035:00 PM,0,Łowicz Główny
us6000ibip,06-05-22 7:05,355603,Koleje Mazowieckie,06-05-22,Warszawa Zachodnia peron 9 - Ciechanów,7:53,12,Legionowo
tx2022qbbx,06-05-22 7:05,535604,Koleje Mazowieckie,06-05-22,Ciechanów - Warszawa Zachodnia peron 9,7:57,0,Legionowo
nn00845246,06-05-22 7:05,5354234,Koleje Mazowieckie,06-05-22,Działdowo - Warszawa Zachodnia peron 9,8:45,0,Legionowo
nc73768980,06-05-22 7:05,533500/35  MAŁOPOLSKA,PKP Intercity,06-05-22,Gdynia Główna - Kraków Główny,9:023:00 AM,21,Legionowo
nc73768975,06-05-22 7:05,35835355/4  POBRZEŻE,PKP Intercity,06-05-22,Łódź Fabryczna - Kołobrzeg,350:58:00 AM,0,Legionowo
ci40326832,06-05-22 7:05,35230/35  ŻEROMSKI,PKP Intercity,06-05-22,Kraków Główny - Olsztyn Główny,3535:55:00 AM,14,Legionowo
pr71366503,06-05-22 7:05,434523  S7/S335,Koleje Śląskie,06-05-22,Racibórz - Nowy Bieruń,7:355:00 AM,36,Katowice Ligota
uu60510187,06-05-22 7:05,947523/3  S5,Koleje Śląskie,06-05-22,Zwardoń - Katowice,7:2335:00 AM,31,Katowice Ligota
ci40326824,06-05-22 7:05,94703/23  S5,Koleje Śląskie,06-05-22,Katowice - Zwardoń,7:238:00 AM,0,Katowice Ligota
ci40326816,06-05-22 7:05,404350  S4,Koleje Śląskie,06-05-22,Tychy Lodowisko - Katowice,7:38,0,Katowice Ligota
nn00845273,06-05-22 7:05,34453  S335/S7,Koleje Śląskie,06-05-22,Nowy Bieruń - Racibórz,7:40,21,Katowice Ligota
nn00845245,06-05-22 7:05,947923/3  S5 SPRINTER,Koleje Śląskie,06-05-22,Zwardoń - Katowice,7:45,0,Katowice Ligota
nn00845201,06-05-22 7:05,403503  S435 SPRINTER,Koleje Śląskie,06-05-22,Częstochowa - Tychy Lodowisko,7:53,11,Katowice Ligota
uu60030814,06-05-22 7:05,94854/5  S5,Koleje Śląskie,06-05-22,Żywiec - Katowice,8:234:00 AM,0,Katowice Ligota
uu60510182,06-05-22 7:05,44850  S735,Koleje Śląskie,06-05-22,Chałupki - Katowice,8:37,18,Katowice Ligota
us6000ibif,06-05-22 7:05,94794/5  S5 SPRINTER,Koleje Śląskie,06-05-22,Zwardoń - Katowice,8:43,15,Katowice Ligota
ci40326808,06-05-22 7:05,94756/7  S5,Koleje Śląskie,06-05-22,Zwardoń - Katowice,9:236:00 AM,0,Katowice Ligota
ci40326800,06-05-22 7:05,59806,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdańsk Śródmieście,7:06,40,Gdynia Cisowa
ak022ait4oq8,06-05-22 7:05,95737,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdynia Główna - Wejherowo,7:354:00 AM,23,Gdynia Cisowa
nc73768960,06-05-22 7:05,957357,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:2335:00 AM,35,Gdynia Cisowa
uu60510177,06-05-22 7:05,597358,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,7:233:00 AM,0,Gdynia Cisowa
ci40326792,06-05-22 7:05,597230,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:335:00 AM,23,Gdynia Cisowa
ci40326784,06-05-22 7:05,5972323,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:39,0,Gdynia Cisowa
us6000ibi5,06-05-22 7:05,9572335,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:49,0,Gdynia Cisowa
nc73768955,06-05-22 7:05,59808,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdynia Główna,8:04,41,Gdynia Cisowa
ci40326776,06-05-22 7:05,356230/35  ASNYK,PKP Intercity,06-05-22,Warszawa Wschodnia - Wrocław Główny,7:07,0,Łódź Widzew
ci40326768,06-05-22 7:05,352300/35  CZARTORYSKI,PKP Intercity,06-05-22,Łódź Fabryczna - Lublin Główny,7:355:00 AM,18,Łódź Widzew
us6000ibi3,06-05-22 7:05,3535509/8  ,Łódzka Kolej Aglomeracyjna,06-05-22,Skierniewice - Łódź Fabryczna,7:356:00 AM,23,Łódź Widzew
nc73768950,06-05-22 7:05,3535305,Łódzka Kolej Aglomeracyjna,06-05-22,Łowicz Główny - Łódź Widzew,7:357:00 AM,0,Łódź Widzew
nc73768945,06-05-22 7:05,43523323/3  ,POLREGIO Sp. z o.o.,06-05-22,Częstochowa - Łódź Kaliska,7:2335:00 AM,0,Łódź Widzew
ak022aiskcz5,06-05-22 7:05,3535577/6  ,Łódzka Kolej Aglomeracyjna,06-05-22,Łódź Fabryczna - Skierniewice,7:2335:00 AM,12,Łódź Widzew
nc73768940,06-05-22 7:05,35900/35  BORYNA,PKP Intercity,06-05-22,Warszawa Gdańska - Łódź Fabryczna,7:235:00 AM,20,Łódź Widzew
ak022aisjvxs,06-05-22 7:05,3523343,POLREGIO Sp. z o.o.,06-05-22,Łódź Kaliska - Skarżysko-Kamienna,7:235:00 AM,0,Łódź Widzew
uu60510167,06-05-22 7:05,3543500/35  CHEMIK,PKP Intercity,06-05-22,Płock - Katowice,7:237:00 AM,11,Łódź Widzew
nn00845193,06-05-22 7:05,6353503/23  DĄBROWSKA,PKP Intercity,06-05-22,Wrocław Główny - Białystok,7:33,0,Łódź Widzew
nn00845189,06-05-22 7:05,3535448/9  ,Łódzka Kolej Aglomeracyjna,06-05-22,Sieradz - Łódź Fabryczna,7:48,0,Łódź Widzew
nc73768935,06-05-22 7:05,43523323/3  ,POLREGIO Sp. z o.o.,06-05-22,Częstochowa - Łódź Kaliska,7:56,21,Łódź Widzew
hv73111832,06-05-22 7:05,353523535/0  ,Łódzka Kolej Aglomeracyjna,06-05-22,Zgierz - Łódź Widzew,8:023:00 AM,12,Łódź Widzew
nc73768920,06-05-22 7:05,3535364,Łódzka Kolej Aglomeracyjna,06-05-22,Kutno - Łódź Widzew,8:04,0,Łódź Widzew
nc73768915,06-05-22 7:05,353553535/0  ,Łódzka Kolej Aglomeracyjna,06-05-22,Skierniewice - Łódź Fabryczna,8:354:00 AM,34,Łódź Widzew
av91068688,06-05-22 7:05,3535307,Łódzka Kolej Aglomeracyjna,06-05-22,Łowicz Główny - Łódź Widzew,8:355:00 AM,0,Łódź Widzew
nc73768910,06-05-22 7:05,99353535/0  ,POLREGIO Sp. z o.o.,06-05-22,Warszawa Główna - Łódź Fabryczna,8:359:00 AM,20,Łódź Widzew
pr71366498,06-05-22 7:05,735233523/3  ,POLREGIO Sp. z o.o.,06-05-22,Ostrów Wielkopolski - Warszawa Główna,8:2323:00 AM,12,Łódź Widzew
nn00845188,06-05-22 7:05,4352330,POLREGIO Sp. z o.o.,06-05-22,Częstochowa - Łódź Fabryczna,8:323:00 AM,0,Łódź Widzew
pr71366488,06-05-22 7:05,353535233/23  ,POLREGIO Sp. z o.o.,06-05-22,Warszawa Główna - Łódź Fabryczna,8:323:00 AM,12,Łódź Widzew
nn00845345,06-05-22 7:05,45230/35  HUTNIK,PKP Intercity,06-05-22,Bielsko-Biała Główna - Gdynia Główna,8:49,21,Łódź Widzew
ci40326752,06-05-22 7:05,356230/35  ASNYK,PKP Intercity,06-05-22,Warszawa Wschodnia - Wrocław Główny,7:07,0,Łódź Widzew
hv73111782,06-05-22 7:05,352300/35  CZARTORYSKI,PKP Intercity,06-05-22,Łódź Fabryczna - Lublin Główny,7:355:00 AM,10,Łódź Widzew
av91068683,06-05-22 7:05,3535509/8  ,Łódzka Kolej Aglomeracyjna,06-05-22,Skierniewice - Łódź Fabryczna,7:356:00 AM,36,Łódź Widzew
hv73111777,06-05-22 7:05,3535305,Łódzka Kolej Aglomeracyjna,06-05-22,Łowicz Główny - Łódź Widzew,7:357:00 AM,0,Łódź Widzew
av91663786,06-05-22 7:05,43523323/3  ,POLREGIO Sp. z o.o.,06-05-22,Częstochowa - Łódź Kaliska,7:2335:00 AM,11,Łódź Widzew
ok2022qato,06-05-22 7:05,3535577/6  ,Łódzka Kolej Aglomeracyjna,06-05-22,Łódź Fabryczna - Skierniewice,7:2335:00 AM,38,Łódź Widzew
tx2022qatn,06-05-22 7:05,35900/35  BORYNA,PKP Intercity,06-05-22,Warszawa Gdańska - Łódź Fabryczna,7:235:00 AM,0,Łódź Widzew
av91663781,06-05-22 7:05,3523343,POLREGIO Sp. z o.o.,06-05-22,Łódź Kaliska - Skarżysko-Kamienna,7:235:00 AM,16,Łódź Widzew
av91663776,06-05-22 7:05,3543500/35  CHEMIK,PKP Intercity,06-05-22,Płock - Katowice,7:237:00 AM,38,Łódź Widzew
uu60510162,06-05-22 7:05,958035,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Lębork,7:08,0,Wejherowo-Nanice
nc73768905,06-05-22 7:05,597230,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:3535:00 AM,41,Wejherowo-Nanice
ak022airbs9s,06-05-22 7:05,957355,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:356:00 AM,0,Wejherowo-Nanice
uw61872991,06-05-22 7:05,5972323,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:358:00 AM,45,Wejherowo-Nanice
nn00845185,06-05-22 7:05,95737,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdynia Główna - Wejherowo,7:33,12,Wejherowo-Nanice
ak022air9dp1,06-05-22 7:05,957357,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:43,0,Wejherowo-Nanice
us6000ibhb,06-05-22 7:05,59808,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdynia Główna,7:43,32,Wejherowo-Nanice
ci40326744,06-05-22 7:05,9572335,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,8:350:00 AM,0,Wejherowo-Nanice
hv73111762,06-05-22 7:05,6353503/23  DĄBROWSKA,PKP Intercity,06-05-22,Wrocław Główny - Białystok,7:33,11,Łódź Widzew
tx2022qasi,06-05-22 7:05,3535448/9  ,Łódzka Kolej Aglomeracyjna,06-05-22,Sieradz - Łódź Fabryczna,7:48,21,Łódź Widzew
nn00845264,06-05-22 7:05,43523323/3  ,POLREGIO Sp. z o.o.,06-05-22,Częstochowa - Łódź Kaliska,7:56,0,Łódź Widzew
ak022aiqsf8x,06-05-22 7:05,353523535/0  ,Łódzka Kolej Aglomeracyjna,06-05-22,Zgierz - Łódź Widzew,8:023:00 AM,12,Łódź Widzew
av91663736,06-05-22 7:05,3535364,Łódzka Kolej Aglomeracyjna,06-05-22,Kutno - Łódź Widzew,8:04,41,Łódź Widzew
uu60510152,06-05-22 7:05,353553535/0  ,Łódzka Kolej Aglomeracyjna,06-05-22,Skierniewice - Łódź Fabryczna,8:354:00 AM,0,Łódź Widzew
av91663726,06-05-22 7:05,3535307,Łódzka Kolej Aglomeracyjna,06-05-22,Łowicz Główny - Łódź Widzew,8:355:00 AM,21,Łódź Widzew
nc73768885,06-05-22 7:05,99353535/0  ,POLREGIO Sp. z o.o.,06-05-22,Warszawa Główna - Łódź Fabryczna,8:359:00 AM,0,Łódź Widzew
ak022aiqf7qz,06-05-22 7:05,735233523/3  ,POLREGIO Sp. z o.o.,06-05-22,Ostrów Wielkopolski - Warszawa Główna,8:2323:00 AM,23,Łódź Widzew
ci40326736,06-05-22 7:05,4352330,POLREGIO Sp. z o.o.,06-05-22,Częstochowa - Łódź Fabryczna,8:323:00 AM,0,Łódź Widzew
ci40326728,06-05-22 7:05,353535233/23  ,POLREGIO Sp. z o.o.,06-05-22,Warszawa Główna - Łódź Fabryczna,8:323:00 AM,21,Łódź Widzew
ci40326720,06-05-22 7:05,45230/35  HUTNIK,PKP Intercity,06-05-22,Bielsko-Biała Główna - Gdynia Główna,8:49,0,Łódź Widzew
ak022aiqcmll,06-05-22 7:05,597358,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,7:358:00 AM,0,Rumia Janowo
us6000ibgy,06-05-22 7:05,95737,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdynia Główna - Wejherowo,7:358:00 AM,10,Rumia Janowo
tx2022qaqd,06-05-22 7:05,957357,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:235:00 AM,17,Rumia Janowo
av91663721,06-05-22 7:05,597230,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:237:00 AM,0,Rumia Janowo
av91068673,06-05-22 7:05,5972323,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:35,8,Rumia Janowo
av91068668,06-05-22 7:05,9572335,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:53,0,Rumia Janowo
av91663711,06-05-22 7:05,59808,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdynia Główna,8:00,24,Rumia Janowo
uu60510147,06-05-22 7:05,4035035  S435 SPRINTER,Koleje Śląskie,06-05-22,Częstochowa - Tychy Lodowisko,7:05,0,Tychy
ci40326712,06-05-22 7:05,947523/3  S5,Koleje Śląskie,06-05-22,Zwardoń - Katowice,7:09,21,Tychy
uw61872971,06-05-22 7:05,94805/4  S5,Koleje Śląskie,06-05-22,Katowice - Żywiec,7:354:00 AM,10,Tychy
ci40326704,06-05-22 7:05,435008/9 (353535) SILESIA,PKP Intercity,06-05-22,Bohu Vrbice - Warszawa Wschodnia,7:2335:00 AM,0,Tychy
av91068663,06-05-22 7:05,404350 (353535) S4,Koleje Śląskie,06-05-22,Tychy Lodowisko - Katowice,7:236:00 AM,0,Tychy
ak022ahgfhaw,06-05-22 7:05,947923/3 (353535) S5 SPRINTER,Koleje Śląskie,06-05-22,Zwardoń - Katowice,7:35,11,Tychy
ci40326696,06-05-22 7:05,94703/23 (353535) S5,Koleje Śląskie,06-05-22,Katowice - Zwardoń,7:39,0,Tychy
ci40326688,06-05-22 7:05,34453 (353535) S335/S7,Koleje Śląskie,06-05-22,Nowy Bieruń - Racibórz,7:50,20,Tychy
ci40326680,06-05-22 7:05,403503 (353535) S435 SPRINTER,Koleje Śląskie,06-05-22,Częstochowa - Tychy Lodowisko,8:05,10,Tychy
uu60510137,06-05-22 7:05,94854/5 (353535) S5,Koleje Śląskie,06-05-22,Żywiec - Katowice,8:3523:00 AM,0,Tychy
ci40326672,06-05-22 7:05,958035,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Lębork,7:06,12,Wejherowo Śmiechowo
av91068658,06-05-22 7:05,597230,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:354:00 AM,21,Wejherowo Śmiechowo
av91068653,06-05-22 7:05,957355,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:354:00 AM,0,Wejherowo Śmiechowo
ci40326664,06-05-22 7:05,5972323,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:2335:00 AM,23,Wejherowo Śmiechowo
nc73768875,06-05-22 7:05,95737,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdynia Główna - Wejherowo,7:335:00 AM,25,Wejherowo Śmiechowo
nc73768870,06-05-22 7:05,957357,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:40,0,Wejherowo Śmiechowo
uu60510132,06-05-22 7:05,59808,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdynia Główna,7:46,30,Wejherowo Śmiechowo
av91068648,06-05-22 7:05,9572335,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,8:07,0,Wejherowo Śmiechowo
ak022ahfttkm,06-05-22 7:05,44850 (353535) S735,Koleje Śląskie,06-05-22,Chałupki - Katowice,8:234:00 AM,23,Tychy
ak022ahfs2y9,06-05-22 7:05,354000/35 (35356) SILESIA,PKP Intercity,06-05-22,Warszawa Wschodnia - Bohu,8:236:00 AM,99,Tychy
ci40326656,06-05-22 7:05,94794/5 (35356) S5 SPRINTER,Koleje Śląskie,06-05-22,Zwardoń - Katowice,8:33,0,Tychy
ak022ahfqelr,06-05-22 7:05,94756/7 (35356) S5,Koleje Śląskie,06-05-22,Zwardoń - Katowice,9:355:00 AM,20,Tychy
ci40326648,06-05-22 7:05,354230/35 (35356) DASZYŃSKI,PKP Intercity,06-05-22,Warszawa Wschodnia - Bielsko-Biała Główna,350:023:00 AM,31,Tychy
pr71366453,06-05-22 7:05,34000/35 (35354) CRACOVIA,PKP Intercity,06-05-22,Przemyśl Główny - Bohu,3535:59:00 AM,0,Tychy
ak022ahfnyru,06-05-22 7:05,40655  S35,Koleje Śląskie,06-05-22,Częstochowa - Gliwice,7:08,12,Katowice Zawodzie
pr71366448,06-05-22 7:05,34453  S335/S7,Koleje Śląskie,06-05-22,Nowy Bieruń - Racibórz,7:354:00 AM,21,Katowice Zawodzie
nc71128819,06-05-22 7:05,405023  S435,Koleje Śląskie,06-05-22,Tychy Lodowisko - Dąbrowa Górnicza Ząbkowice,7:354:00 AM,0,Katowice Zawodzie
nc73768860,06-05-22 7:05,34304/5  ,POLREGIO Sp. z o.o.,06-05-22,Kraków Główny - Katowice,7:2335:00 AM,17,Katowice Zawodzie
ci40326640,06-05-22 7:05,434523  S7/S335,Koleje Śląskie,06-05-22,Racibórz - Nowy Bieruń,7:335:00 AM,12,Katowice Zawodzie
ci40326632,06-05-22 7:05,442363,POLREGIO Sp. z o.o.,06-05-22,Sławków - Katowice,7:323:00 AM,0,Katowice Zawodzie
ak022ahf8k4t,06-05-22 7:05,403503  S435 SPRINTER,Koleje Śląskie,06-05-22,Częstochowa - Tychy Lodowisko,7:37,20,Katowice Zawodzie
ak022ahf8b7h,06-05-22 7:05,40608  S35,Koleje Śląskie,06-05-22,Gliwice - Częstochowa,7:39,11,Katowice Zawodzie
ak022ahf78q0,06-05-22 7:05,234905,POLREGIO Sp. z o.o.,06-05-22,Kielce - Katowice,8:3535:00 AM,0,Katowice Zawodzie
uw61872941,06-05-22 7:05,40657  S35,Koleje Śląskie,06-05-22,Częstochowa - Gliwice,8:357:00 AM,11,Katowice Zawodzie
pr71366443,06-05-22 7:05,34306/7  ,POLREGIO Sp. z o.o.,06-05-22,Kraków Główny - Katowice,8:359:00 AM,21,Katowice Zawodzie
av91068638,06-05-22 7:05,40655  S35,Koleje Śląskie,06-05-22,Częstochowa - Gliwice,7:05,0,Katowice Szopienice Południowe
ak022ahf4wwh,06-05-22 7:05,34453  S335/S7,Koleje Śląskie,06-05-22,Nowy Bieruń - Racibórz,7:350:00 AM,16,Katowice Szopienice Południowe
ci40326616,06-05-22 7:05,405023  S435,Koleje Śląskie,06-05-22,Tychy Lodowisko - Dąbrowa Górnicza Ząbkowice,7:357:00 AM,34,Katowice Szopienice Południowe
uw61872936,06-05-22 7:05,34304/5  ,POLREGIO Sp. z o.o.,06-05-22,Kraków Główny - Katowice,7:358:00 AM,0,Katowice Szopienice Południowe
us6000ibfj,06-05-22 7:05,442363,POLREGIO Sp. z o.o.,06-05-22,Sławków - Katowice,7:238:00 AM,0,Katowice Szopienice Południowe
ak022aheqikq,06-05-22 7:05,403503  S435 SPRINTER,Koleje Śląskie,06-05-22,Częstochowa - Tychy Lodowisko,7:34,12,Katowice Szopienice Południowe
us6000ibfa,06-05-22 7:05,434523  S7/S335,Koleje Śląskie,06-05-22,Racibórz - Nowy Bieruń,7:34,0,Katowice Szopienice Południowe
ci40326592,06-05-22 7:05,40608  S35,Koleje Śląskie,06-05-22,Gliwice - Częstochowa,7:423:00 AM,0,Katowice Szopienice Południowe
pr71366423,06-05-22 7:05,234905,POLREGIO Sp. z o.o.,06-05-22,Kielce - Katowice,8:08,21,Katowice Szopienice Południowe
hv73111517,06-05-22 7:05,40657  S35,Koleje Śląskie,06-05-22,Częstochowa - Gliwice,8:354:00 AM,0,Katowice Szopienice Południowe
us6000ibf3,06-05-22 7:05,34306/7  ,POLREGIO Sp. z o.o.,06-05-22,Kraków Główny - Katowice,8:355:00 AM,14,Katowice Szopienice Południowe
av91068628,06-05-22 7:05,957355,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:3535:00 AM,36,Reda Pieleszewo
